PlayerName,Date,MatchType(OneDay-T20-Test),OppositionTeam,TossWin,BowlingFirst,BattingFirst,hometeam,LastMatchesPerformance,Last3MatchesPerformance,Last6MatchesPerformance,Performance(IT is label. For Batsman:Runs. For Bowler: Wickets),Form(InOrOut),weather,pitch,Order(BattingBowlingOrder), , , , 
habibul bashar,06-04-95,T-20,srilanka,win,yes,no,Sharjah Cricket Stadium,good,good,good,16,in,sunny,dry,3,,,,
habibul bashar,08-04-95,T-20,pakistan,win,yes,no,Sharjah Cricket Stadium,good,average,average,0,in,sunny,dry,2,,,,
habibul bashar,16-07-97,T-20,pakistn,win,no,yes,R Premadasa Stadium,bad,good,average,0,in,sunny,hard,3,,,,
habibul bashar,15-10-97,T-20,srilanka,win,yes,no,Sinhalese Sports Club Ground,bad,bad,average,6,out,overcast,hard,3,,,,
habibul bashar,12-01-98,T-20,zimbabwe,win,no,yes,Gymkhana Club Ground,bad,bad,average,70,out,humid,green,3,,,,
habibul bashar,08-10-99,T-20,zimbabwe,win,no,yes,Aga Khan Sports Club Ground,average,bad,bad,2,out,humid,green,3,,,,
habibul bashar,09-10-99,T-20,kenya,lost,yes,no,Aga Khan Sports Club Ground,average,bad,bad,4,out,humid,green,4,,,,
habibul bashar,25-05-00,T-20,pakistan,lost,yes,no,Bangabandhu National Stadium,bad,bad,bad,15,out,sunny,hard,4,,,,
habibul bashar,30-05-00,T-20,west india,win,yes,no,Bangabandhu National Stadium,bad,bad,bad,0,out,sunny,hard,1,,,,
habibul bashar,02-06-00,T-20,west india,win,yes,no,Bangabandhu National Stadium,bad,bad,bad,1,out,sunny,dry,1,,,,
habibul bashar,05-10-00,T-20,srilanka,lost,no,yes,Bangabandhu National Stadium,bad,bad,bad,57,out,overcast,dry,1,,,,
habibul bashar,07-04-01,T-20,india,win,yes,no,Bangabandhu National Stadium,average,bad,bad,23,out,overcast,green,3,,,,
habibul bashar,08-04-01,T-20,pakistan,lost,no,yes,Gymkhana Club Ground,average,bad,bad,18,out,overcast,green,3,,,,
habibul bashar,11-04-01,T-20,england,lost,yes,no,Harare Sports Club,bad,good,bad,0,in,sunny,green,3,,,,
